text,sentiment
I had I would have responded if i were going,1
soo sad i will miss you here in san diego,0
my bos is bullying me,0
what interview leave me alone,0
son of why could not they put them on the release we already bought,0
some shameless plugging for the best ranger forum on earth,1
am feeling for the baby are fun when he is all smile and cool,2
soo high,1
both of you,1
journey wow you just became cooler here is that possible,2
a much a i love to be hopeful i reckon the chance are minimal p I am never going to get my cake and stuff,1
i really really like the song love story by taylor swift,2
my share is running dangerously low on ink,0
i want to go to music tonight but i lost my voice,0
test test from the lg env,1
uh oh i am sunburned,0
s ok trying to plot alternative a we speak sigh,0
