Initial Text,Cleaned Text
" I`d have responded, if I were going",i i would respond i go
 Sooo SAD I will miss you here in San Diego!!!,soon sad i miss san diego
my boss is bullying me...,bos bulli
 what interview! leave me alone,interview leav alon
" Sons of ****, why couldn`t they put them on the releases we already bought",son could put releas alreadi bought
http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,shameless plug best ranger forum earth
2am feedings for the baby are fun when he is all smiles and coos,am feel babi fun smile cool
Soooo high,soon high
 Both of you,both
 Journey!? Wow... u just became cooler.  hehe... (is that possible!?),journey wow u becam cooler here possibl
" as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",much love hope reckon chanc minim =p i never gon na get cake stuff
I really really like the song Love Story by Taylor Swift,i realli realli like song love stori taylor swift
My Sharpie is running DANGERously low on ink,my share run danger low ink
i want to go to music tonight but i lost my voice.,want go music tonight lost voic
test test from the LG enV2,test test lg env
"Uh oh, I am sunburned",uh oh i sunburn
" S`ok, trying to plot alternatives as we speak *sigh*",s ` ok tri plot altern speak sigh
